step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,8
11,0,7
12,0,6
13,1,6
14,2,6
15,2,7
16,2,8
17,2,9
18,2,8
19,2,7
20,2,6
21,2,5
22,2,4
23,2,3
24,2,2
25,2,1
26,2,0
27,2,1
28,2,2
29,2,3
30,3,3
31,4,3
32,4,4
33,4,5
34,4,6
35,4,7
36,4,8
37,4,9
38,4,8
39,4,7
40,4,6
41,5,6
42,6,6
43,6,7
44,6,8
45,6,9
46,7,9
47,7,8
48,7,7
49,7,6
50,7,5
51,6,5
52,6,4
53,6,3
54,6,2
55,6,1
56,6,0
57,7,0
58,7,1
59,7,2
60,7,3
61,7,4
62,6,4
63,6,5
64,6,6
65,5,6
66,4,6
67,4,5
68,4,4
69,4,3
70,4,2
71,4,1
72,4,0
