step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,1,49
51,1,48
52,1,47
53,1,46
54,1,45
55,1,44
56,1,43
57,1,42
58,1,41
59,1,40
60,1,39
61,1,38
62,1,37
63,1,36
64,1,35
65,1,34
66,1,33
67,1,32
68,1,31
69,1,30
70,1,29
71,1,28
72,1,27
73,1,26
74,1,25
75,1,24
76,1,23
77,1,22
78,1,21
79,1,20
80,1,19
81,1,18
82,1,17
83,1,16
84,1,15
85,1,14
86,1,13
87,1,12
88,1,11
89,1,10
90,1,9
91,1,8
92,1,7
93,1,6
94,1,5
95,1,4
96,1,3
97,1,2
98,1,1
99,1,0
100,2,0
101,2,1
102,3,1
103,3,0
104,4,0
105,4,1
106,4,2
107,4,3
108,4,4
109,4,5
110,4,6
111,4,7
112,4,8
113,4,9
114,4,10
115,4,11
116,4,12
117,4,13
118,4,14
119,4,15
120,4,16
121,4,17
122,4,18
123,4,19
124,4,20
125,4,21
126,4,22
127,4,23
128,4,24
129,4,25
130,4,26
131,4,27
132,4,28
133,4,29
134,4,30
135,4,31
136,4,32
137,4,33
138,4,34
139,4,35
140,4,36
141,4,37
142,4,38
143,4,39
144,4,40
145,4,41
146,4,42
147,4,43
148,4,44
149,4,45
150,4,46
151,4,47
152,4,48
153,4,49
154,5,49
155,5,48
156,5,47
157,5,46
158,5,45
159,5,44
160,5,43
161,5,42
162,5,41
163,5,40
164,5,39
165,5,38
166,5,37
167,5,36
168,5,35
169,5,34
170,5,33
171,5,32
172,5,31
173,5,30
174,5,29
175,5,28
176,5,27
177,5,26
178,5,25
179,5,24
180,5,23
181,5,22
182,5,21
183,5,20
184,5,19
185,5,18
186,5,17
187,5,16
188,5,15
189,5,14
190,5,13
191,5,12
192,5,11
193,5,10
194,5,9
195,5,8
196,5,7
197,5,6
198,5,5
199,5,4
200,5,3
201,5,2
202,5,1
203,5,0
204,6,0
205,6,1
206,7,1
207,7,0
208,8,0
209,8,1
210,8,2
211,8,3
212,8,4
213,8,5
214,8,6
215,8,7
216,8,8
217,8,9
218,8,10
219,8,11
220,8,12
221,8,13
222,8,14
223,8,15
224,8,16
225,8,17
226,8,18
227,8,19
228,8,20
229,8,21
230,8,22
231,8,23
232,8,24
233,8,25
234,8,26
235,8,27
236,8,28
237,8,29
238,8,30
239,8,31
240,8,32
241,8,33
242,8,34
243,8,35
244,8,36
245,8,37
246,8,38
247,8,39
248,8,40
249,8,41
250,8,42
251,8,43
252,8,44
253,8,45
254,8,46
255,8,47
256,8,48
257,8,49
258,9,49
259,9,48
260,9,47
261,9,46
262,9,45
263,9,44
264,9,43
265,9,42
266,9,41
267,9,40
268,9,39
269,9,38
270,9,37
271,9,36
272,9,35
273,9,34
274,9,33
275,9,32
276,9,31
277,9,30
278,9,29
279,9,28
280,9,27
281,9,26
282,9,25
283,9,24
284,9,23
285,9,22
286,9,21
287,9,20
288,9,19
289,9,18
290,9,17
291,9,16
292,9,15
293,9,14
294,9,13
295,9,12
296,9,11
297,9,10
298,9,9
299,9,8
300,9,7
301,9,6
302,9,5
303,9,4
304,9,3
305,9,2
306,9,1
307,9,0
308,10,0
